Folio;Nombre del Articulo;Descripcion;Precio;Cantidad;Fecha de Compra;Monto;Impuesto;total_venta
SEL-11485;Cafetera Espresso;Presión 15 bares automática;5826.8;1;31/01/2023;5826.8;932.29;5826.8
SEL-12344;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;3798.3;2;31/01/2024;7596.6;1215.46;7596.6
SEL-11764;Monitor Curvo 27';Resolución 2K 144Hz;4361.75;5;28/04/2023;21808.75;3489.4;21808.75
SEL-10042;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;0.0;3;13/04/2023;0.0;0.0;0.0
SEL-11838;Monitor Curvo 27';Resolución 2K 144Hz;5594.64;1;03/05/2024;5594.64;895.14;5594.64
SEL-11622;Mochila Porta Laptop;Impermeable con puerto USB;7561.11;3;20/02/2024;22683.33;3629.33;22683.329999999998
SEL-12150;Batería Portátil;20000mAh carga rápida;269.12;1;14/02/2024;269.12;43.06;269.12
SEL-10807;Smartphone X;Pantalla OLED 6.5 pulgadas;2233.47;1;30/03/2023;2233.47;357.36;2233.47
SEL-11377;Silla de Oficina;Soporte lumbar ajustable;2671.67;1;14/03/2024;2671.67;427.47;2671.67
SEL-11244;Lámpara LED Escritorio;3 niveles de temperatura de color;5102.13;4;22/01/2024;20408.52;3265.36;20408.52
SEL-10787;Lámpara LED Escritorio;3 niveles de temperatura de color;4604.54;1;08/05/2023;4604.54;736.73;4604.54
SEL-10417;Monitor Curvo 27';Resolución 2K 144Hz;3029.17;4;17/03/2023;12116.68;1938.67;12116.68
SEL-12193;Cafetera Espresso;Presión 15 bares automática;1027.47;1;11/11/2023;1027.47;164.4;1027.47
SEL-11541;Lámpara LED Escritorio;3 niveles de temperatura de color;3910.72;5;29/06/2023;19553.6;3128.58;19553.6
SEL-12214;Mochila Porta Laptop;Impermeable con puerto USB;6323.94;1;19/02/2023;6323.94;1011.83;6323.94
SEL-11286;Monitor Curvo 27';Resolución 2K 144Hz;2773.85;2;18/05/2023;5547.7;887.63;5547.7
SEL-10012;Silla de Oficina;Soporte lumbar ajustable;0.0;4;12/03/2023;0.0;0.0;0.0
SEL-10525;Lámpara LED Escritorio;3 niveles de temperatura de color;4900.92;4;20/01/2023;19603.68;3136.59;19603.68
SEL-11632;Teclado Inalámbrico;Teclas silenciosas español;2899.94;3;27/03/2023;8699.82;1391.97;8699.82
SEL-10112;Cafetera Espresso;Presión 15 bares automática;5326.68;3;13/12/2023;15980.04;2556.81;15980.04
SEL-10710;Batería Portátil;20000mAh carga rápida;2734.88;5;21/09/2023;13674.4;2187.9;13674.400000000001
SEL-10271;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;1389.15;1;20/01/2024;1389.15;222.26;1389.15
SEL-11725;Silla de Oficina;Soporte lumbar ajustable;5133.05;2;28/01/2024;10266.1;1642.58;10266.1
SEL-11477;Batería Portátil;20000mAh carga rápida;4832.12;1;22/02/2023;4832.12;773.14;4832.12
SEL-11275;Lámpara LED Escritorio;3 niveles de temperatura de color;4330.79;1;19/06/2023;4330.79;692.93;4330.79
SEL-11946;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;1289.63;4;01/12/2023;5158.52;825.36;5158.52
SEL-10808;Batería Portátil;20000mAh carga rápida;953.41;5;12/12/2023;4767.05;762.73;4767.05
SEL-11358;Mochila Porta Laptop;Impermeable con puerto USB;3720.51;4;16/02/2023;14882.04;2381.13;14882.04
SEL-12323;Teclado Inalámbrico;Teclas silenciosas español;3977.25;5;04/05/2024;19886.25;3181.8;19886.25
SEL-11380;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;689.58;3;20/09/2023;2068.74;331.0;2068.7400000000002
SEL-10912;Teclado Inalámbrico;Teclas silenciosas español;3273.81;5;23/03/2024;16369.05;2619.05;16369.05
SEL-11779;Lámpara LED Escritorio;3 niveles de temperatura de color;407.28;4;10/09/2023;1629.12;260.66;1629.12
SEL-10538;Cafetera Espresso;Presión 15 bares automática;3051.02;2;13/09/2023;6102.04;976.33;6102.04
SEL-10642;Lámpara LED Escritorio;3 niveles de temperatura de color;1393.35;3;28/09/2023;4180.05;668.81;4180.049999999999
SEL-10812;Batería Portátil;20000mAh carga rápida;2723.01;1;10/03/2024;2723.01;435.68;2723.01
SEL-12312;Cafetera Espresso;Presión 15 bares automática;3156.55;4;19/07/2023;12626.2;2020.19;12626.2
SEL-11797;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;1056.97;1;20/03/2024;1056.97;169.12;1056.97
SEL-11043;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;3578.82;5;02/11/2023;17894.1;2863.06;17894.100000000002
SEL-10907;Teclado Inalámbrico;Teclas silenciosas español;4871.14;4;29/04/2023;19484.56;3117.53;19484.56
SEL-12092;Batería Portátil;20000mAh carga rápida;2500.07;4;17/09/2023;10000.28;1600.04;10000.28
SEL-11494;Cafetera Espresso;Presión 15 bares automática;2649.61;2;23/01/2024;5299.22;847.88;5299.22
SEL-11268;Mochila Porta Laptop;Impermeable con puerto USB;1170.95;3;29/08/2023;3512.85;562.06;3512.8500000000004
SEL-11468;Cafetera Espresso;Presión 15 bares automática;4838.49;3;29/05/2023;14515.47;2322.48;14515.47
SEL-12143;Teclado Inalámbrico;Teclas silenciosas español;541.22;4;23/03/2024;2164.88;346.38;2164.88
SEL-10269;Teclado Inalámbrico;Teclas silenciosas español;6819.2;1;26/07/2023;6819.2;1091.07;6819.2
SEL-10416;Cafetera Espresso;Presión 15 bares automática;6200.98;5;07/07/2023;31004.9;4960.78;31004.899999999998
SEL-11422;Lámpara LED Escritorio;3 niveles de temperatura de color;4945.24;5;23/12/2023;24726.2;3956.19;24726.199999999997
SEL-12220;Mochila Porta Laptop;Impermeable con puerto USB;3024.39;1;04/02/2023;3024.39;483.9;3024.39
SEL-11165;Batería Portátil;20000mAh carga rápida;3276.07;5;14/04/2023;16380.35;2620.86;16380.35
SEL-10393;Mochila Porta Laptop;Impermeable con puerto USB;1571.08;2;04/03/2023;3142.16;502.75;3142.16
SEL-10139;Silla de Oficina;Soporte lumbar ajustable;3932.24;3;04/11/2023;11796.72;1887.48;11796.72
SEL-10021;Cafetera Espresso;Presión 15 bares automática;0.0;1;29/03/2024;0.0;0.0;0.0
SEL-10284;Mochila Porta Laptop;Impermeable con puerto USB;3248.65;3;14/02/2023;9745.95;1559.35;9745.95
SEL-11815;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;1208.47;5;25/03/2023;6042.35;966.78;6042.35
SEL-11294;Lámpara LED Escritorio;3 niveles de temperatura de color;2576.48;1;17/05/2023;2576.48;412.24;2576.48
SEL-11172;Mochila Porta Laptop;Impermeable con puerto USB;6790.0;1;27/04/2024;6790.0;1086.4;6790.0
SEL-11655;Monitor Curvo 27';Resolución 2K 144Hz;7435.51;5;23/03/2023;37177.55;5948.41;37177.55
SEL-11469;Silla de Oficina;Soporte lumbar ajustable;4702.15;5;29/11/2023;23510.75;3761.72;23510.75
SEL-10032;Batería Portátil;20000mAh carga rápida;0.0;2;28/12/2023;0.0;0.0;0.0
SEL-11505;Smartphone X;Pantalla OLED 6.5 pulgadas;6534.72;2;01/04/2024;13069.44;2091.11;13069.44
SEL-12390;Monitor Curvo 27';Resolución 2K 144Hz;3689.66;5;07/11/2023;18448.3;2951.73;18448.3
SEL-10329;Teclado Inalámbrico;Teclas silenciosas español;3029.49;3;12/01/2024;9088.47;1454.16;9088.47
SEL-11460;Batería Portátil;20000mAh carga rápida;7471.91;3;03/12/2023;22415.73;3586.52;22415.73
SEL-10931;Lámpara LED Escritorio;3 niveles de temperatura de color;3958.98;1;29/11/2023;3958.98;633.44;3958.98
SEL-12425;Monitor Curvo 27';Resolución 2K 144Hz;2983.6;3;05/05/2024;8950.8;1432.13;8950.8
SEL-11266;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;6292.9;3;12/06/2023;18878.7;3020.59;18878.699999999997
SEL-11166;Monitor Curvo 27';Resolución 2K 144Hz;4198.49;4;10/02/2023;16793.96;2687.03;16793.96
SEL-10265;Silla de Oficina;Soporte lumbar ajustable;5869.0;5;04/02/2023;29345.0;4695.2;29345.0
SEL-10495;Mochila Porta Laptop;Impermeable con puerto USB;1808.49;3;01/01/2023;5425.47;868.08;5425.47
SEL-11080;Mochila Porta Laptop;Impermeable con puerto USB;2771.95;4;29/12/2023;11087.8;1774.05;11087.8
SEL-10949;Cafetera Espresso;Presión 15 bares automática;4887.49;5;25/01/2024;24437.45;3909.99;24437.449999999997
SEL-10683;Teclado Inalámbrico;Teclas silenciosas español;5659.27;3;27/07/2023;16977.81;2716.45;16977.81
SEL-12072;Lámpara LED Escritorio;3 niveles de temperatura de color;5572.03;2;17/03/2024;11144.06;1783.05;11144.06
SEL-10811;Smartphone X;Pantalla OLED 6.5 pulgadas;1078.91;2;08/09/2023;2157.82;345.25;2157.82
SEL-11008;Silla de Oficina;Soporte lumbar ajustable;4553.11;3;20/05/2023;13659.33;2185.49;13659.329999999998
SEL-11481;Batería Portátil;20000mAh carga rápida;2375.28;5;26/07/2023;11876.4;1900.22;11876.400000000001
SEL-11584;Silla de Oficina;Soporte lumbar ajustable;3443.18;3;23/06/2023;10329.54;1652.73;10329.539999999999
SEL-10458;Teclado Inalámbrico;Teclas silenciosas español;3495.15;3;23/04/2023;10485.45;1677.67;10485.45
SEL-10013;Monitor Curvo 27';Resolución 2K 144Hz;0.0;2;12/06/2023;0.0;0.0;0.0
SEL-12173;Silla de Oficina;Soporte lumbar ajustable;4095.36;4;26/08/2023;16381.44;2621.03;16381.44
SEL-10705;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;4824.72;1;29/07/2023;4824.72;771.96;4824.72
SEL-12233;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;1815.59;2;30/05/2023;3631.18;580.99;3631.18
SEL-10348;Cafetera Espresso;Presión 15 bares automática;955.9;1;16/02/2023;955.9;152.94;955.9
SEL-12333;Smartphone X;Pantalla OLED 6.5 pulgadas;5457.27;3;29/04/2024;16371.81;2619.49;16371.810000000001
SEL-12171;Cafetera Espresso;Presión 15 bares automática;3220.3;3;16/04/2024;9660.9;1545.74;9660.900000000001
SEL-11315;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;1345.34;1;28/02/2024;1345.34;215.25;1345.34
SEL-12445;Monitor Curvo 27';Resolución 2K 144Hz;5590.04;3;05/09/2023;16770.12;2683.22;16770.12
SEL-11757;Mochila Porta Laptop;Impermeable con puerto USB;298.02;5;14/02/2024;1490.1;238.42;1490.1
SEL-10016;Teclado Inalámbrico;Teclas silenciosas español;0.0;1;16/02/2023;0.0;0.0;0.0
SEL-11324;Monitor Curvo 27';Resolución 2K 144Hz;1353.18;1;13/02/2024;1353.18;216.51;1353.18
SEL-10121;Teclado Inalámbrico;Teclas silenciosas español;241.31;1;17/07/2023;241.31;38.61;241.31
SEL-12144;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;6207.38;4;08/05/2024;24829.52;3972.72;24829.52
SEL-10681;Monitor Curvo 27';Resolución 2K 144Hz;5450.12;2;25/04/2024;10900.24;1744.04;10900.24
SEL-10037;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;0.0;4;16/07/2023;0.0;0.0;0.0
SEL-10847;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;5405.54;4;02/02/2024;21622.16;3459.55;21622.16
SEL-11887;Cafetera Espresso;Presión 15 bares automática;1600.48;2;09/05/2024;3200.96;512.15;3200.96
SEL-10716;Mochila Porta Laptop;Impermeable con puerto USB;1249.95;1;27/04/2023;1249.95;199.99;1249.95
SEL-11250;Monitor Curvo 27';Resolución 2K 144Hz;2556.62;3;26/04/2023;7669.86;1227.18;7669.86
SEL-11776;Teclado Inalámbrico;Teclas silenciosas español;4567.92;5;29/01/2024;22839.6;3654.34;22839.6
SEL-10859;Teclado Inalámbrico;Teclas silenciosas español;6068.41;2;24/03/2023;12136.82;1941.89;12136.82
SEL-12403;Mochila Porta Laptop;Impermeable con puerto USB;6514.59;5;20/03/2023;32572.95;5211.67;32572.95
SEL-12145;Monitor Curvo 27';Resolución 2K 144Hz;3067.63;5;13/12/2023;15338.15;2454.1;15338.150000000001
SEL-12023;Cafetera Espresso;Presión 15 bares automática;1401.44;1;12/11/2023;1401.44;224.23;1401.44
SEL-11977;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;2017.45;1;26/07/2023;2017.45;322.79;2017.45
SEL-11130;Lámpara LED Escritorio;3 niveles de temperatura de color;2862.89;1;27/09/2023;2862.89;458.06;2862.89
SEL-10181;Lámpara LED Escritorio;3 niveles de temperatura de color;652.58;2;13/10/2023;1305.16;208.83;1305.16
SEL-12113;Silla de Oficina;Soporte lumbar ajustable;6514.03;5;21/01/2023;32570.15;5211.22;32570.149999999998
SEL-11041;Monitor Curvo 27';Resolución 2K 144Hz;6489.69;5;25/01/2023;32448.45;5191.75;32448.449999999997
SEL-11003;Smartphone X;Pantalla OLED 6.5 pulgadas;6511.43;4;06/05/2023;26045.72;4167.32;26045.72
SEL-12401;Cafetera Espresso;Presión 15 bares automática;5724.27;5;13/07/2023;28621.35;4579.42;28621.350000000002
SEL-10453;Smartphone X;Pantalla OLED 6.5 pulgadas;3003.82;3;09/07/2023;9011.46;1441.83;9011.460000000001
SEL-11292;Smartphone X;Pantalla OLED 6.5 pulgadas;7520.4;4;24/12/2023;30081.6;4813.06;30081.6
SEL-12100;Smartphone X;Pantalla OLED 6.5 pulgadas;6352.64;1;05/02/2024;6352.64;1016.42;6352.64
SEL-12351;Silla de Oficina;Soporte lumbar ajustable;4152.22;4;27/02/2024;16608.88;2657.42;16608.88
SEL-12137;Teclado Inalámbrico;Teclas silenciosas español;6926.1;3;30/08/2023;20778.3;3324.53;20778.300000000003
SEL-10976;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;3340.83;4;15/07/2023;13363.32;2138.13;13363.32
SEL-11530;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;6577.73;5;31/03/2024;32888.65;5262.18;32888.649999999994
SEL-11115;Monitor Curvo 27';Resolución 2K 144Hz;3405.24;5;21/05/2023;17026.2;2724.19;17026.199999999997
SEL-12254;Silla de Oficina;Soporte lumbar ajustable;6485.52;5;23/01/2024;32427.6;5188.42;32427.600000000002
SEL-12191;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;786.08;3;14/04/2024;2358.24;377.32;2358.2400000000002
SEL-11174;Mochila Porta Laptop;Impermeable con puerto USB;4112.85;5;10/03/2024;20564.25;3290.28;20564.25
SEL-11431;Monitor Curvo 27';Resolución 2K 144Hz;7071.63;3;10/03/2023;21214.89;3394.38;21214.89
SEL-10977;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;2880.38;3;27/01/2023;8641.14;1382.58;8641.14
SEL-11074;Silla de Oficina;Soporte lumbar ajustable;1431.48;2;11/03/2023;2862.96;458.07;2862.96
SEL-11963;Silla de Oficina;Soporte lumbar ajustable;4724.23;4;13/10/2023;18896.92;3023.51;18896.92
SEL-12203;Silla de Oficina;Soporte lumbar ajustable;3516.08;3;13/04/2023;10548.24;1687.72;10548.24
SEL-10803;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;702.5;5;08/05/2024;3512.5;562.0;3512.5
SEL-11326;Batería Portátil;20000mAh carga rápida;5459.9;1;30/04/2024;5459.9;873.58;5459.9
SEL-12210;Mochila Porta Laptop;Impermeable con puerto USB;899.16;1;09/02/2024;899.16;143.87;899.16
SEL-11498;Cafetera Espresso;Presión 15 bares automática;6829.58;4;31/05/2023;27318.32;4370.93;27318.32
SEL-12443;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;416.34;4;31/05/2023;1665.36;266.46;1665.36
SEL-10446;Monitor Curvo 27';Resolución 2K 144Hz;503.28;3;27/04/2023;1509.84;241.57;1509.84
SEL-11500;Silla de Oficina;Soporte lumbar ajustable;7195.06;3;26/01/2023;21585.18;3453.63;21585.18
SEL-12300;Mochila Porta Laptop;Impermeable con puerto USB;3939.42;1;26/12/2023;3939.42;630.31;3939.42
SEL-11922;Silla de Oficina;Soporte lumbar ajustable;6435.79;5;20/10/2023;32178.95;5148.63;32178.95
SEL-12140;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;7138.53;3;04/10/2023;21415.59;3426.49;21415.59
SEL-10203;Lámpara LED Escritorio;3 niveles de temperatura de color;5877.59;1;07/10/2023;5877.59;940.41;5877.59
SEL-11402;Cafetera Espresso;Presión 15 bares automática;242.0;1;25/02/2023;242.0;38.72;242.0
SEL-10559;Cafetera Espresso;Presión 15 bares automática;5578.45;2;11/04/2023;11156.9;1785.1;11156.9
SEL-11609;Teclado Inalámbrico;Teclas silenciosas español;7086.74;3;15/12/2023;21260.22;3401.64;21260.22
SEL-10364;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;786.21;1;11/03/2024;786.21;125.79;786.21
SEL-11754;Silla de Oficina;Soporte lumbar ajustable;4164.38;1;23/11/2023;4164.38;666.3;4164.38
SEL-11573;Silla de Oficina;Soporte lumbar ajustable;1927.55;3;01/05/2024;5782.65;925.22;5782.65
SEL-10481;Teclado Inalámbrico;Teclas silenciosas español;4588.68;2;22/10/2023;9177.36;1468.38;9177.36
SEL-11553;Silla de Oficina;Soporte lumbar ajustable;7296.29;4;20/10/2023;29185.16;4669.63;29185.16
SEL-11750;Monitor Curvo 27';Resolución 2K 144Hz;6345.89;1;12/04/2023;6345.89;1015.34;6345.89
SEL-12343;Batería Portátil;20000mAh carga rápida;720.71;1;20/11/2023;720.71;115.31;720.71
SEL-10726;Batería Portátil;20000mAh carga rápida;2942.78;5;18/02/2023;14713.9;2354.22;14713.900000000001
SEL-11162;Batería Portátil;20000mAh carga rápida;3336.82;2;01/02/2023;6673.64;1067.78;6673.64
SEL-12007;Mochila Porta Laptop;Impermeable con puerto USB;1789.49;4;30/07/2023;7157.96;1145.27;7157.96
SEL-11457;Silla de Oficina;Soporte lumbar ajustable;3858.27;3;10/01/2024;11574.81;1851.97;11574.81
SEL-10213;Smartphone X;Pantalla OLED 6.5 pulgadas;3267.39;3;13/09/2023;9802.17;1568.35;9802.17
SEL-10374;Monitor Curvo 27';Resolución 2K 144Hz;2722.8;1;27/09/2023;2722.8;435.65;2722.8
SEL-10140;Silla de Oficina;Soporte lumbar ajustable;7464.39;2;13/05/2023;14928.78;2388.6;14928.78
SEL-12192;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;4580.82;3;29/01/2023;13742.46;2198.79;13742.46
SEL-10898;Smartphone X;Pantalla OLED 6.5 pulgadas;3644.41;3;20/01/2023;10933.23;1749.32;10933.23
SEL-10504;Lámpara LED Escritorio;3 niveles de temperatura de color;2388.17;2;04/07/2023;4776.34;764.21;4776.34
SEL-12043;Lámpara LED Escritorio;3 niveles de temperatura de color;6193.13;2;12/07/2023;12386.26;1981.8;12386.26
SEL-10437;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;2824.89;1;29/07/2023;2824.89;451.98;2824.89
SEL-11732;Smartphone X;Pantalla OLED 6.5 pulgadas;1251.51;2;26/01/2023;2503.02;400.48;2503.02
SEL-11983;Silla de Oficina;Soporte lumbar ajustable;950.77;1;28/12/2023;950.77;152.12;950.77
SEL-11937;Mochila Porta Laptop;Impermeable con puerto USB;336.98;5;21/04/2024;1684.9;269.58;1684.9
SEL-11359;Batería Portátil;20000mAh carga rápida;1905.12;1;06/02/2024;1905.12;304.82;1905.12
SEL-11141;Batería Portátil;20000mAh carga rápida;7361.89;2;23/12/2023;14723.78;2355.8;14723.78
SEL-10475;Cafetera Espresso;Presión 15 bares automática;7021.04;3;17/03/2023;21063.12;3370.1;21063.12
SEL-11109;Monitor Curvo 27';Resolución 2K 144Hz;999.72;2;09/05/2024;1999.44;319.91;1999.44
SEL-10187;Silla de Oficina;Soporte lumbar ajustable;7697.44;3;21/03/2023;23092.32;3694.77;23092.32
SEL-11114;Smartphone X;Pantalla OLED 6.5 pulgadas;3503.92;2;29/05/2023;7007.84;1121.25;7007.84
SEL-10440;Batería Portátil;20000mAh carga rápida;1747.19;5;20/06/2023;8735.95;1397.75;8735.95
SEL-10558;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;5243.22;3;09/01/2023;15729.66;2516.75;15729.66
SEL-10600;Smartphone X;Pantalla OLED 6.5 pulgadas;7569.6;4;29/09/2023;30278.4;4844.54;30278.4
SEL-11886;Mochila Porta Laptop;Impermeable con puerto USB;6258.17;2;12/01/2024;12516.34;2002.61;12516.34
SEL-10411;Smartphone X;Pantalla OLED 6.5 pulgadas;7770.89;3;20/02/2023;23312.67;3730.03;23312.670000000002
SEL-10768;Cafetera Espresso;Presión 15 bares automática;983.92;1;11/12/2023;983.92;157.43;983.92
SEL-11580;Silla de Oficina;Soporte lumbar ajustable;5429.14;5;31/03/2023;27145.7;4343.31;27145.7
SEL-10615;Cafetera Espresso;Presión 15 bares automática;4514.09;4;26/03/2023;18056.36;2889.02;18056.36
SEL-10858;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;3130.31;3;13/01/2023;9390.93;1502.55;9390.93
SEL-11614;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;5444.33;3;06/02/2023;16332.99;2613.28;16332.99
SEL-10820;Lámpara LED Escritorio;3 niveles de temperatura de color;2473.42;2;03/12/2023;4946.84;791.49;4946.84
SEL-10002;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;0.0;3;01/02/2023;0.0;0.0;0.0
SEL-11339;Silla de Oficina;Soporte lumbar ajustable;1181.82;2;01/09/2023;2363.64;378.18;2363.64
SEL-10736;Monitor Curvo 27';Resolución 2K 144Hz;4419.86;1;01/02/2023;4419.86;707.18;4419.86
SEL-11866;Monitor Curvo 27';Resolución 2K 144Hz;2974.72;5;05/01/2024;14873.6;2379.78;14873.599999999999
SEL-10498;Silla de Oficina;Soporte lumbar ajustable;7919.79;2;02/10/2023;15839.58;2534.33;15839.58
SEL-10602;Lámpara LED Escritorio;3 niveles de temperatura de color;6318.5;3;17/01/2023;18955.5;3032.88;18955.5
SEL-11253;Cafetera Espresso;Presión 15 bares automática;2556.8;3;01/09/2023;7670.4;1227.26;7670.400000000001
SEL-12071;Cafetera Espresso;Presión 15 bares automática;2721.96;1;15/11/2023;2721.96;435.51;2721.96
SEL-11221;Silla de Oficina;Soporte lumbar ajustable;4703.1;4;12/11/2023;18812.4;3009.98;18812.4
SEL-11277;Teclado Inalámbrico;Teclas silenciosas español;3336.75;4;26/04/2023;13347.0;2135.52;13347.0
SEL-10418;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;4881.28;4;03/09/2023;19525.12;3124.02;19525.12
SEL-11671;Teclado Inalámbrico;Teclas silenciosas español;1082.69;5;05/05/2023;5413.45;866.15;5413.450000000001
SEL-11482;Smartphone X;Pantalla OLED 6.5 pulgadas;2810.79;3;20/05/2023;8432.37;1349.18;8432.369999999999
SEL-10033;Lámpara LED Escritorio;3 niveles de temperatura de color;0.0;3;22/03/2023;0.0;0.0;0.0
SEL-10917;Silla de Oficina;Soporte lumbar ajustable;2335.57;1;26/01/2024;2335.57;373.69;2335.57
SEL-12397;Cafetera Espresso;Presión 15 bares automática;3782.2;4;18/11/2023;15128.8;2420.61;15128.8
SEL-10771;Cafetera Espresso;Presión 15 bares automática;1372.42;4;29/02/2024;5489.68;878.35;5489.68
SEL-11083;Teclado Inalámbrico;Teclas silenciosas español;6409.03;4;18/12/2023;25636.12;4101.78;25636.12
