Folio,Nombre del Articulo,Descripcion,Precio,Cantidad,Fecha de Compra,Monto,Impuesto
SEL-12203,Silla de Oficina,Soporte lumbar ajustable,3516.08,3,13/04/2023,10548.24,1687.72
SEL-10803,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,702.5,5,08/05/2024,3512.5,562.0
SEL-11326,Batería Portátil,20000mAh carga rápida,5459.9,1,30/04/2024,5459.9,873.58
SEL-12210,Mochila Porta Laptop,Impermeable con puerto USB,899.16,1,09/02/2024,899.16,143.87
SEL-11498,Cafetera Espresso,Presión 15 bares automática,6829.58,4,31/05/2023,27318.32,4370.93
SEL-12443,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,416.34,4,31/05/2023,1665.36,266.46
SEL-10446,Monitor Curvo 27',Resolución 2K 144Hz,503.28,3,27/04/2023,1509.84,241.57
SEL-11500,Silla de Oficina,Soporte lumbar ajustable,7195.06,3,26/01/2023,21585.18,3453.63
SEL-12300,Mochila Porta Laptop,Impermeable con puerto USB,3939.42,1,26/12/2023,3939.42,630.31
SEL-11922,Silla de Oficina,Soporte lumbar ajustable,6435.79,5,20/10/2023,32178.95,5148.63
SEL-12140,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,7138.53,3,04/10/2023,21415.59,3426.49
SEL-10203,Lámpara LED Escritorio,3 niveles de temperatura de color,5877.59,1,07/10/2023,5877.59,940.41
SEL-11402,Cafetera Espresso,Presión 15 bares automática,242.0,1,25/02/2023,242.0,38.72
SEL-10559,Cafetera Espresso,Presión 15 bares automática,5578.45,2,11/04/2023,11156.9,1785.1
SEL-11609,Teclado Inalámbrico,Teclas silenciosas español,7086.74,3,15/12/2023,21260.22,3401.64
SEL-10364,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,786.21,1,11/03/2024,786.21,125.79
SEL-11754,Silla de Oficina,Soporte lumbar ajustable,4164.38,1,23/11/2023,4164.38,666.3
SEL-11573,Silla de Oficina,Soporte lumbar ajustable,1927.55,3,01/05/2024,5782.65,925.22
SEL-10481,Teclado Inalámbrico,Teclas silenciosas español,4588.68,2,22/10/2023,9177.36,1468.38
SEL-11553,Silla de Oficina,Soporte lumbar ajustable,7296.29,4,20/10/2023,29185.16,4669.63
SEL-11750,Monitor Curvo 27',Resolución 2K 144Hz,6345.89,1,12/04/2023,6345.89,1015.34
SEL-12343,Batería Portátil,20000mAh carga rápida,720.71,1,20/11/2023,720.71,115.31
SEL-10726,Batería Portátil,20000mAh carga rápida,2942.78,5,18/02/2023,14713.9,2354.22
SEL-11162,Batería Portátil,20000mAh carga rápida,3336.82,2,01/02/2023,6673.64,1067.78
SEL-12007,Mochila Porta Laptop,Impermeable con puerto USB,1789.49,4,30/07/2023,7157.96,1145.27
SEL-11457,Silla de Oficina,Soporte lumbar ajustable,3858.27,3,10/01/2024,11574.81,1851.97
SEL-10213,Smartphone X,Pantalla OLED 6.5 pulgadas,3267.39,3,13/09/2023,9802.17,1568.35
SEL-10374,Monitor Curvo 27',Resolución 2K 144Hz,2722.8,1,27/09/2023,2722.8,435.65
SEL-10140,Silla de Oficina,Soporte lumbar ajustable,7464.39,2,13/05/2023,14928.78,2388.6
SEL-12192,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,4580.82,3,29/01/2023,13742.46,2198.79
SEL-10898,Smartphone X,Pantalla OLED 6.5 pulgadas,3644.41,3,20/01/2023,10933.23,1749.32
SEL-10504,Lámpara LED Escritorio,3 niveles de temperatura de color,2388.17,2,04/07/2023,4776.34,764.21
SEL-12043,Lámpara LED Escritorio,3 niveles de temperatura de color,6193.13,2,12/07/2023,12386.26,1981.8
SEL-10437,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,2824.89,1,29/07/2023,2824.89,451.98
SEL-11732,Smartphone X,Pantalla OLED 6.5 pulgadas,1251.51,2,26/01/2023,2503.02,400.48
SEL-11983,Silla de Oficina,Soporte lumbar ajustable,950.77,1,28/12/2023,950.77,152.12
SEL-11937,Mochila Porta Laptop,Impermeable con puerto USB,336.98,5,21/04/2024,1684.9,269.58
SEL-11359,Batería Portátil,20000mAh carga rápida,1905.12,1,06/02/2024,1905.12,304.82
SEL-11141,Batería Portátil,20000mAh carga rápida,7361.89,2,23/12/2023,14723.78,2355.8
SEL-10475,Cafetera Espresso,Presión 15 bares automática,7021.04,3,17/03/2023,21063.12,3370.1
SEL-11109,Monitor Curvo 27',Resolución 2K 144Hz,999.72,2,09/05/2024,1999.44,319.91
SEL-10187,Silla de Oficina,Soporte lumbar ajustable,7697.44,3,21/03/2023,23092.32,3694.77
SEL-11114,Smartphone X,Pantalla OLED 6.5 pulgadas,3503.92,2,29/05/2023,7007.84,1121.25
SEL-10440,Batería Portátil,20000mAh carga rápida,1747.19,5,20/06/2023,8735.95,1397.75
SEL-10558,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,5243.22,3,09/01/2023,15729.66,2516.75
SEL-10600,Smartphone X,Pantalla OLED 6.5 pulgadas,7569.6,4,29/09/2023,30278.4,4844.54
SEL-11886,Mochila Porta Laptop,Impermeable con puerto USB,6258.17,2,12/01/2024,12516.34,2002.61
SEL-10411,Smartphone X,Pantalla OLED 6.5 pulgadas,7770.89,3,20/02/2023,23312.67,3730.03
SEL-10768,Cafetera Espresso,Presión 15 bares automática,983.92,1,11/12/2023,983.92,157.43
SEL-11580,Silla de Oficina,Soporte lumbar ajustable,5429.14,5,31/03/2023,27145.7,4343.31
SEL-10615,Cafetera Espresso,Presión 15 bares automática,4514.09,4,26/03/2023,18056.36,2889.02
SEL-10858,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3130.31,3,13/01/2023,9390.93,1502.55
SEL-11614,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,5444.33,3,06/02/2023,16332.99,2613.28
SEL-10820,Lámpara LED Escritorio,3 niveles de temperatura de color,2473.42,2,03/12/2023,4946.84,791.49
SEL-10002,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,,3,01/02/2023,0.0,0.0
SEL-11339,Silla de Oficina,Soporte lumbar ajustable,1181.82,2,01/09/2023,2363.64,378.18
SEL-10736,Monitor Curvo 27',Resolución 2K 144Hz,4419.86,1,01/02/2023,4419.86,707.18
SEL-11866,Monitor Curvo 27',Resolución 2K 144Hz,2974.72,5,05/01/2024,14873.6,2379.78
SEL-10498,Silla de Oficina,Soporte lumbar ajustable,7919.79,2,02/10/2023,15839.58,2534.33
SEL-10602,Lámpara LED Escritorio,3 niveles de temperatura de color,6318.5,3,17/01/2023,18955.5,3032.88
SEL-11253,Cafetera Espresso,Presión 15 bares automática,2556.8,3,01/09/2023,7670.4,1227.26
SEL-12071,Cafetera Espresso,Presión 15 bares automática,2721.96,1,15/11/2023,2721.96,435.51
SEL-11221,Silla de Oficina,Soporte lumbar ajustable,4703.1,4,12/11/2023,18812.4,3009.98
SEL-11277,Teclado Inalámbrico,Teclas silenciosas español,3336.75,4,26/04/2023,13347.0,2135.52
SEL-10418,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,4881.28,4,03/09/2023,19525.12,3124.02
SEL-11671,Teclado Inalámbrico,Teclas silenciosas español,1082.69,5,05/05/2023,5413.45,866.15
SEL-11482,Smartphone X,Pantalla OLED 6.5 pulgadas,2810.79,3,20/05/2023,8432.37,1349.18
SEL-10033,Lámpara LED Escritorio,3 niveles de temperatura de color,,3,22/03/2023,0.0,0.0
SEL-10917,Silla de Oficina,Soporte lumbar ajustable,2335.57,1,26/01/2024,2335.57,373.69
SEL-12397,Cafetera Espresso,Presión 15 bares automática,3782.2,4,18/11/2023,15128.8,2420.61
SEL-10771,Cafetera Espresso,Presión 15 bares automática,1372.42,4,29/02/2024,5489.68,878.35
SEL-11083,Teclado Inalámbrico,Teclas silenciosas español,6409.03,4,18/12/2023,25636.12,4101.78
SEL-11565,Mochila Porta Laptop,Impermeable con puerto USB,4130.65,4,13/05/2023,16522.6,2643.62
SEL-11503,Batería Portátil,20000mAh carga rápida,4606.69,4,13/09/2023,18426.76,2948.28
SEL-10415,Monitor Curvo 27',Resolución 2K 144Hz,7842.57,2,15/09/2023,15685.14,2509.62
SEL-11449,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,7124.96,3,10/10/2023,21374.88,3419.98
SEL-10171,Lámpara LED Escritorio,3 niveles de temperatura de color,4970.31,1,26/03/2024,4970.31,795.25
SEL-10997,Lámpara LED Escritorio,3 niveles de temperatura de color,1818.31,5,15/05/2024,9091.55,1454.65
SEL-10228,Cafetera Espresso,Presión 15 bares automática,3527.63,2,09/08/2023,7055.26,1128.84
SEL-11089,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,1366.45,2,27/02/2024,2732.9,437.26
SEL-10756,Teclado Inalámbrico,Teclas silenciosas español,5882.97,4,10/03/2023,23531.88,3765.1
SEL-10215,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,259.38,1,19/03/2023,259.38,41.5
SEL-11603,Mochila Porta Laptop,Impermeable con puerto USB,3497.76,2,26/11/2023,6995.52,1119.28
SEL-12200,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,4459.41,2,07/04/2024,8918.82,1427.01
SEL-11157,Monitor Curvo 27',Resolución 2K 144Hz,5013.68,1,21/04/2023,5013.68,802.19
SEL-10574,Silla de Oficina,Soporte lumbar ajustable,7115.92,4,30/05/2023,28463.68,4554.19
SEL-12271,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,7904.59,5,25/03/2023,39522.95,6323.67
SEL-12044,Smartphone X,Pantalla OLED 6.5 pulgadas,2900.52,1,29/10/2023,2900.52,464.08
SEL-11436,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,3567.04,4,09/06/2023,14268.16,2282.91
SEL-12119,Smartphone X,Pantalla OLED 6.5 pulgadas,4679.17,1,11/04/2023,4679.17,748.67
SEL-11564,Mochila Porta Laptop,Impermeable con puerto USB,1611.86,5,03/08/2023,8059.3,1289.49
SEL-11805,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,3851.08,3,16/01/2023,11553.24,1848.52
SEL-11254,Monitor Curvo 27',Resolución 2K 144Hz,2670.42,1,25/01/2024,2670.42,427.27
SEL-12257,Cafetera Espresso,Presión 15 bares automática,839.87,2,05/12/2023,1679.74,268.76
SEL-10518,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,4896.65,1,09/09/2023,4896.65,783.46
